# This file was machine generated by the rptp2ucm tool
ibm-259_P100-1995.ucm,34B00103.RPMAP100,010334B0.TPMAP100
ibm-259_X100-1995.ucm,34B00103.RXMAP100,010334B0.TXMAP100
ibm-273_P100-1999.ucm,34B00111.RPMAP100,011134B0.TPMAP100
ibm-274_P100-2000.ucm,44B00112.RPMAP100,011244B0.TPMAP100
ibm-275_P100-1995.ucm,34B00113.RPMAP100,011334B0.TPMAP100
ibm-277_P100-1999.ucm,34B00115.RPMAP100,011534B0.TPMAP100
ibm-278_P100-1999.ucm,34B00116.RPMAP100,011634B0.TPMAP100
ibm-280_P100-1999.ucm,34B00118.RPMAP100,011834B0.TPMAP100
ibm-282_P100-1995.ucm,34B0011A.RPMAP100,011A34B0.TPMAP100
ibm-284_P100-1999.ucm,34B0011C.RPMAP100,011C34B0.TPMAP100
ibm-285_P100-1999.ucm,34B0011D.RPMAP100,011D34B0.TPMAP100
ibm-286_P100-2003.ucm,44B0011E.RPMAP100,011E44B0.TPMAP100
ibm-28709_P100-1995.ucm,34B07025.RPMAP100,702534B0.TPMAP100
ibm-290_P100-1995.ucm,34B00122.RPMAP100,012234B0.TPMAP100
ibm-293_P100-1995.ucm,34B00125.RPMAP100,012534B0.TPMAP100
ibm-293_X100-1995.ucm,34B00125.RXMAP100,012534B0.TXMAP100
ibm-297_P100-1999.ucm,34B00129.RPMAP100,012934B0.TPMAP100
ibm-300_P110-1997.ucm,34B0012C.RPMAP110,012C34B0.TPMAP110
ibm-300_P120-2006.ucm,34B0012C.RPMAP120,012C34B0.TPMAP120
ibm-300_X110-1997.ucm,34B0012C.RXMAP110,012C34B0.TXMAP110
ibm-301_P110-1997.ucm,34B0012D.RPMAP110,012D34B0.TPMAP110
ibm-301_X110-1997.ucm,34B0012D.RXMAP110,012D34B0.TXMAP110
ibm-33058_P100-2000.ucm,34B08122.RPMAP100,812234B0.TPMAP100
ibm-33722_P120-1999.ucm,34B083BA.RPMAP120,83BA34B0.TPMAP110
ibm-33722_P12A-1999.ucm,34B083BA.RPMAP12A,83BA34B0.TPMAP11A
ibm-33722_P12A_P12A-2004_U2.ucm,34B083BA.RPMAP12A,83BA34B0.TPMAP12A
ibm-367_P100-1995.ucm,34B0016F.RPMAP100,016F34B0.TPMAP100
ibm-37_P100-1999.ucm,34B00025.RPMAP100,002534B0.TPMAP100
ibm-420_X110-1999.ucm,34B001A4.RXMAP110,01A434B0.TXMAP110
ibm-420_X120-1999.ucm,34B001A4.RXMAP120,01A434B0.TXMAP110
ibm-423_P100-1995.ucm,34B001A7.RPMAP100,01A734B0.TPMAP100
ibm-424_P100-1995.ucm,34B001A8.RPMAP100,01A834B0.TPMAP100
ibm-425_P101-2000.ucm,44B001A9.RPMAP101,01A944B0.TPMAP101
ibm-437_P100-1995.ucm,34B001B5.RPMAP100,01B534B0.TPMAP100
ibm-4517_P100-2005.ucm,54B011A5.RPMAP100,11A554B0.TPMAP100
ibm-4899_P100-1998.ucm,44B01323.RPMAP100,132344B0.TPMAP100
ibm-4904_P101-2000.ucm,44B01328.RPMAP101,132844B0.TPMAP101
ibm-4909_P100-1999.ucm,44B0132D.RPMAP100,132D44B0.TPMAP100
ibm-4930_P100-1997.ucm,34B01342.RPMAP100,134234B0.TPMAP100
ibm-4930_P110-1999.ucm,44B01342.RPMAP110,134244B0.TPMAP110
ibm-4933_P100-2002.ucm,44B01345.RPMAP100,134544B0.TPMAP100
ibm-4944_P101-2000.ucm,44B01350.RPMAP101,135044B0.TPMAP101
ibm-4945_P101-2000.ucm,44B01351.RPMAP101,135144B0.TPMAP101
ibm-4948_P100-1995.ucm,34B01354.RPMAP100,135434B0.TPMAP100
ibm-4951_P100-1995.ucm,34B01357.RPMAP100,135734B0.TPMAP100
ibm-4952_P100-1995.ucm,34B01358.RPMAP100,135834B0.TPMAP100
ibm-4954_P101-2000.ucm,44B0135A.RPMAP101,135A44B0.TPMAP101
ibm-4955_P101-2000.ucm,44B0135B.RPMAP101,135B44B0.TPMAP101
ibm-4956_P101-2000.ucm,44B0135C.RPMAP101,135C44B0.TPMAP101
ibm-4957_P101-2000.ucm,44B0135D.RPMAP101,135D44B0.TPMAP101
ibm-4958_P101-2000.ucm,44B0135E.RPMAP101,135E44B0.TPMAP101
ibm-4959_P101-2000.ucm,44B0135F.RPMAP101,135F44B0.TPMAP101
ibm-4960_P100-1995.ucm,34B01360.RPMAP100,136034B0.TPMAP100
ibm-4960_X100-1995.ucm,34B01360.RXMAP100,136034B0.TXMAP100
ibm-4961_P101-2000.ucm,44B01361.RPMAP101,136144B0.TPMAP101
ibm-4962_P101-2000.ucm,44B01362.RPMAP101,136244B0.TPMAP101
ibm-4963_P101-2000.ucm,44B01363.RPMAP101,136344B0.TPMAP101
ibm-4971_P100-1999.ucm,44B0136B.RPMAP100,136B44B0.TPMAP100
ibm-500_P100-1999.ucm,34B001F4.RPMAP100,01F434B0.TPMAP100
ibm-5012_P100-1999.ucm,34B01394.RPMAP100,139434B0.TPMAP100
ibm-5026_P120-1999.ucm,34B013A2.RPMAP120,13A234B0.TPMAP110
ibm-5026_X120-1999.ucm,34B013A2.RXMAP120,13A234B0.TXMAP110
ibm-5035_P120-1999.ucm,34B013AB.RPMAP120,13AB34B0.TPMAP110
ibm-5035_P120_P12A-2005_U2.ucm,34B013AB.RPMAP120,13AB34B0.TPMAP12A
ibm-5035_X120-1999.ucm,34B013AB.RXMAP120,13AB34B0.TXMAP110
ibm-5039_P110-1996.ucm,34B013AF.RPMAP110,13AF34B0.TPMAP110
ibm-5039_P11A-1998.ucm,34B013AF.RPMAP11A,13AF34B0.TPMAP11A
